#,units,Angstroms
wavelength,amplitude
# from https://noirlab.edu/science/sites/default/files/media/archives/documents/scidoc2213.txt
6887.0881,-99
6888.1742,-99
6925.0094,-99
6937.6642,-99
6951.4776,-99
6960.2500,-99
6965.4307,-99
6992.2126,-99
7025.2251,-99
7030.2514,-99
7067.2181,-99
7068.7358,-99
7086.7044,-99
7107.4778,-99
7125.8200,-99
7147.0416,-99
7158.8387,-99
7162.5569,-99
7202.5166,-99
7206.9804,-99
7229.9386,-99
7233.5365,-99
7265.1724,-99
7270.6636,-99
7272.9359,-99
7285.4437,-99
7311.7159,-99
7316.0050,-99
7345.3996,-99
7348.0530,-99
7350.8140,-99
7353.2930,-99
7372.1184,-99
7380.4263,-99
7383.9805,-99
7392.9801,-99
7412.3368,-99
7422.3118,-99
7425.2942,-99
7435.3683,-99
7436.2970,-99
7440.4933,-99
7471.1641,-99
7484.3267,-99
7500.6556,-99
7503.8691,-99
7510.4082,-99
7514.6518,-99
7589.3151,-99
7618.3443,-99
7628.8818,-99
7635.1060,-99
7670.0575,-99
7704.8169,-99
7723.7611,-99
7724.2072,-99
7814.3230,-99
7861.9100,-99
7868.1946,-99
7891.0750,-99
7916.4420,-99
7948.1764,-99
7956.9740,-99
8006.1567,-99
8014.7857,-99
8017.5275,-99
8037.2183,-99
8046.1169,-99
8053.3085,-99
8094.0559,-99
8103.6931,-99
8115.3110,-99
8119.1811,-99
8264.5225,-99
8384.7240,-99
8408.2096,-99
8424.6475,-99
8490.3065,-99
8521.4422,-99
8604.0163,-99
8605.7762,-99
8620.4602,-99
8667.9442,-99
8678.4083,-99
8761.6862,-99
8771.8602,-99
8799.0875,-99
8899.2971,-99
8905.6581,-99
8920.2012,-99
8962.1468,-99
8968.9461,-99
9008.4636,-99
9017.5912,-99
9035.9195,-99
9068.0230,-99
9075.3945,-99
9159.0346,-99
9192.5937,-99
9194.6385,-99
9224.4992,-99
9279.7085,-99
9291.5313,-99
9354.2198,-99
9508.4513,-99
9535.6566,-99
9641.1951,-99
9657.7863,-99
9713.1103,-99
9739.7704,-99
9784.5028,-99
9837.1669,-99
9906.3907,-99
9952.8033,-99
10022.2836,-99
10273.6965,-99
10470.0535,-99
#
#  ||
#  || from IRAF
#  \/
#
11081.9,10
11109.5,3
11396.8,8
11445.,12
11470.7,6
11491.2,120
11583.5,1
11671.9,200
11690.8,1
11722.7,10
11736.4,9
11887.7,4
11899.9,1
11946.6,12
11947.1,0
12029.9,2
12115.6,150
12143.,30
12154.7,2
12346.8,30
12359.7,10
12406.2,100
12442.7,300
12459.5,100
12491.1,200
12557.7,2
12625.1,2
12705.7,100
12736.9,30
12749.7,12
12806.2,200
12936.7,40
12960.2,500
13011.8,200
13032.,2
13217.6,200
13231.7,200
13234.5,200
13276.3,500
13305.9,4
13316.8,800
13333.8,6
13370.8,1000
13410.2,100
13503.1,30
13507.9,1000
13547.9,8
13577.3,12
13603.,40
13626.4,400
13682.3,200
13722.3,1000
13829.5,0
13832.1,9
13911.3,8
13914.4,50
14097.5,150
14253.1,8
14260.8,13
14599.7,11
14600.5,0
14638.4,30
14654.3,30
14697.4,4
14743.2,5
15050.6,100
15176.8,25
15306.1,40
15333.5,9
15353.,7
15357.3,3
15406.8,6
15904.,10
15993.9,25
16127.1,1
16184.4,4
16441.1,13
16524.4,30
16553.8,8
16744.6,9
16945.2,500
17449.7,11
17450.,0
17828.9,5
17919.6,40
18423.2,2
18432.8,10
18433.4,0
18434.5,0
19822.9,5
19971.2,4
20322.6,2
20621.9,50
20652.8,2
20739.3,2
20741.,0
20816.7,2
20991.8,30
21338.7,1
21540.1,8
22045.6,1
22083.2,8
23139.5,20
23851.5,1
23973.1,20
25132.1,25
25491.6,3
25512.2,8
25668.,10
26843.,4
26917.1,40
27233.,3
28202.4,30
28246.,30
28321.8,25
28435.,1
28538.4,3
28620.2,200
28697.9,50
28712.8,5
28782.9,500
28843.1,100
28989.2,2
29108.5,3
29134.8,50
29262.9,4
29280.7,20
29566.3,3
29796.8,250
30462.1,4
30552.8,2
30996.2,10
31333.,100
31727.3,5
32256.3,3
32305.9,1
32333.9,5
32888.6,4
33078.8,15
33148.4,15
33293.4,10
34960.5,1
36220.9,8
36312.4,3
36390.5,2
36395.,2
36492.,10
37013.6,2
37085.9,5
37143.5,3
37186.2,1
37261.2,2
38120.7,3
38331.2,1
39664.3,1
39670.7,1
40080.4,2
40164.8,1
40169.7,1
40433.1,3
